TradeID,TradeDate,Symbol,Description,Quantity,T. Price,Proceeds,Comm/Fee,Realized P/L
T100001,2024-09-12,NFLX,NETFLIX INC,10,700.00,-7000.00,1.00,0
T100002,2024-10-15,AAPL,APPLE INC,50,220.00,-11000.00,1.00,0
T100003,2024-10-30,DIS,WALT DISNEY CO,25,95.00,-2375.00,1.00,0
T100004,2024-11-08,NVDA,NVIDIA CORP,15,130.00,-1950.00,1.00,0
T100005,2024-11-15,PYPL,PAYPAL HLDGS,30,68.00,-2040.00,1.00,0
T100006,2024-12-03,MSFT,MICROSOFT CORP,30,420.00,-12600.00,1.00,0
T100007,2024-12-20,INTC,INTEL CORP,40,32.00,-1280.00,1.00,0
T100008,2025-01-08,SHOP,SHOPIFY INC,15,75.00,-1125.00,1.00,0
T100009,2025-01-20,GOOGL,ALPHABET INC,10,170.00,-1700.00,1.00,0
T100010,2025-02-07,DIS,WALT DISNEY CO,-25,85.00,2125.00,1.00,-250
T100011,2025-02-12,TSLA,TESLA INC,20,280.00,-5600.00,1.00,0
T100012,2025-03-05,PLTR,PALANTIR TECH,100,45.00,-4500.00,1.00,0
T100013,2025-03-14,NFLX,NETFLIX INC,-10,850.00,8500.00,1.00,1500
T100014,2025-04-10,TSLA,TESLA INC,-5,320.00,1600.00,1.00,200
T100015,2025-04-22,ASML,ASML HOLDING NV,5,680.00,-3400.00,1.00,0
T100016,2025-05-30,LVMH,LVMH MOET HENNESSY LOUIS VUITTON,8,560.00,-4480.00,1.00,0
T100017,2025-05-30,PYPL,PAYPAL HLDGS,-30,62.00,1860.00,1.00,-180
T100018,2025-06-05,INTC,INTEL CORP,-40,22.00,880.00,1.00,-400
T100019,2025-07-15,HIMS,HIMS & HERS HEALTH,80,28.00,-2240.00,1.00,0
T100020,2025-07-22,SHOP,SHOPIFY INC,-15,110.00,1650.00,1.00,525
T100021,2025-08-20,CELH,CELSIUS HOLDINGS,40,32.00,-1280.00,1.00,0
T100022,2025-09-10,FUBO,FUBOTV INC,200,1.40,-280.00,1.00,0
T100023,2025-10-15,AAPL,APPLE INC,20,235.00,-4700.00,1.00,0
T100024,2025-11-05,NVDA,NVIDIA CORP,10,145.00,-1450.00,1.00,0
T100025,2026-01-15,META,META PLATFORMS,12,580.00,-6960.00,1.00,0
T100026,2026-02-09,COST,COSTCO WHOLESALE,5,900.00,-4500.00,1.00,0
T100027,2026-03-10,AMD,ADVANCED MICRO DEVICES,8,145.00,-1160.00,1.00,0
T100028,2026-04-17,PLTR,PALANTIR TECH,50,52.00,-2600.00,1.00,0
T100029,2026-05-05,MSFT,MICROSOFT CORP,5,445.00,-2225.00,1.00,0
T100030,2026-05-08,NVDA,NVIDIA CORP,-8,155.00,1240.00,1.00,160
